tenant_id,portal_id,tenant_name,tenant_type,page_id,title,slug,status,navigation_item_id,navigation_type,navigation_system_key,navigation_object_type_key,runtime_key_derived,classification,displays,location_summary,recommended_place,system_user_decision,risk
1,1,Корпоративный портал,DEV,52,Вторая,page-52,hidden,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
1,1,Корпоративный портал,DEV,54,Разработка продукта,page-54,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,55,Разработка,page-55,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,56,Карта платформы,page-56,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,57,Карта платформы ЯсноПро,page-57,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,58,Тех. поддержка,page-58,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,59,Продажи,page-59,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,60,Отдел кадров,page-60,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,61,Управление платформой,page-61,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,62,Отдел кадров,page-62,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,346,Разработкаа,page-346,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
1,1,Корпоративный портал,DEV,459,Архитектура ЯсноПро,page-459,published,,,,,,workspace_page,workspace screen,"Studio Pages registry, Workspace tabs",Studio Pages,user,low
1,1,Корпоративный портал,DEV,561,Главная,page-561,draft,329,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,574,Главная,page-574,draft,340,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,597,Главная,page-597,draft,354,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,608,Чат,page-608,draft,357,page,runtime.chat,,runtime.chat,runtime_module_entry,runtime chat UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
1,1,Корпоративный портал,DEV,622,Главная,page-622,draft,370,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,713,Тестовая библиотека,page-713,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
1,1,Корпоративный портал,DEV,739,Главная,page-739,draft,413,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,786,Главная,page-786,draft,449,page,,,runtime.office_home,special_office_home,CMS canvas (office home),Studio Pages registry,Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,790,Календарь,page-790,published,452,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
2,2,Platform Template,TEMPLATE,347,Главная,page-347,published,219,page,runtime.office_home,,runtime.office_home,special_office_home,CMS canvas (office home),"Office sidebar, Studio Pages registry",Studio Modules (not Pages),special,medium — protected home
2,2,Platform Template,TEMPLATE,376,Чат,page-376,published,230,page,runtime.chat,,runtime.chat,runtime_module_entry,runtime chat UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
2,2,Platform Template,TEMPLATE,377,Уведомления,page-377,published,233,page,runtime.notifications,,runtime.notifications,runtime_module_entry,notifications overlay/page,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
2,2,Platform Template,TEMPLATE,381,Администрирование,page-381,published,239,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
2,2,Platform Template,TEMPLATE,382,Настройка системы,page-382,published,240,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
2,2,Platform Template,TEMPLATE,791,Календарь,page-791,published,453,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
21,21,ООО Розетка,CLIENT,624,Главная,page-624,published,371,page,runtime.office_home,,runtime.office_home,special_office_home,CMS canvas (office home),"Office sidebar, Studio Pages registry",Studio Modules (not Pages),special,medium — protected home
21,21,ООО Розетка,CLIENT,625,Библи,page-625,published,380,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
21,21,ООО Розетка,CLIENT,649,Оргструктура компании,page-649,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,650,Чат,page-650,published,375,page,runtime.chat,,runtime.chat,runtime_module_entry,runtime chat UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
21,21,ООО Розетка,CLIENT,651,Уведомления,page-651,published,379,page,runtime.notifications,,runtime.notifications,runtime_module_entry,notifications overlay/page,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
21,21,ООО Розетка,CLIENT,653,Календарь,page-653,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,654,Администрирование,page-654,published,384,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
21,21,ООО Розетка,CLIENT,655,Настройка системы,page-655,published,385,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
21,21,ООО Розетка,CLIENT,659,Запевалов,page-659,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,663,Тестовая,page-663,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,664,первая,page-664,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,665,Вторая,page-665,hidden,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
21,21,ООО Розетка,CLIENT,666,Разработка продукта,page-666,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
21,21,ООО Розетка,CLIENT,667,Разработка,page-667,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
21,21,ООО Розетка,CLIENT,668,Тех. поддержка,page-668,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
21,21,ООО Розетка,CLIENT,792,Календарь,page-792,published,454,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
901,901,Tenant A d22ad23d,CLIENT,718,Page 901 d7193620,page-718,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
903,903,Tenant A fdb55bac,CLIENT,719,Page 903 87e8de77,page-719,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
905,905,Tenant A a9369dcf,CLIENT,720,Page 905 16860069,page-720,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
907,907,Tenant A 041d1509,CLIENT,721,Page 907 76605f52,page-721,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
909,909,Tenant A 2da5b3c5,CLIENT,722,Page 909 4826f7c6,page-722,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
911,911,Tenant A ac60437f,CLIENT,723,Page 911 63ea1fdc,page-723,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
913,913,Tenant A 6ff6908e,CLIENT,725,Page 913 2faa8c7e,page-725,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
915,915,Tenant A ef3ee9c0,CLIENT,724,Page 915 eed51511,page-724,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
9503,9503,DocLib ISO A 88b1af89,CLIENT,750,Library A 32ceaa47,page-750,published,416,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9503,9503,DocLib ISO A 88b1af89,CLIENT,757,Library A 18438484,page-757,published,423,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9503,9503,DocLib ISO A 88b1af89,CLIENT,768,Library A 0ccea9a8,page-768,published,432,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9503,9503,DocLib ISO A 88b1af89,CLIENT,793,Календарь,page-793,published,455,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9508,9508,DocLib ISO B 941d37da,CLIENT,751,Library B 4f29c6ef,page-751,published,417,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9508,9508,DocLib ISO B 941d37da,CLIENT,758,Library B d09714f7,page-758,published,424,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9508,9508,DocLib ISO B 941d37da,CLIENT,769,Library B b5c2b608,page-769,published,433,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9508,9508,DocLib ISO B 941d37da,CLIENT,794,Календарь,page-794,published,456,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9510,9510,DocLib ISO B d3fb2620,CLIENT,752,Library B upload 390b8a4b,page-752,published,418,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9510,9510,DocLib ISO B d3fb2620,CLIENT,759,Library B upload 4820df77,page-759,published,425,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9510,9510,DocLib ISO B d3fb2620,CLIENT,770,Library B upload c89a4ce3,page-770,published,434,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9510,9510,DocLib ISO B d3fb2620,CLIENT,795,Календарь,page-795,published,457,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9511,9511,DocLib ISO A cda411cf,CLIENT,753,Library A doc b9842a15,page-753,published,419,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9511,9511,DocLib ISO A cda411cf,CLIENT,760,Library A doc 50dd1f7d,page-760,published,426,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9511,9511,DocLib ISO A cda411cf,CLIENT,771,Library A doc 855654a2,page-771,published,435,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9511,9511,DocLib ISO A cda411cf,CLIENT,796,Календарь,page-796,published,458,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9512,9512,DocLib ISO B c66d83df,CLIENT,754,Library B doc 2edfba0c,page-754,published,420,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9512,9512,DocLib ISO B c66d83df,CLIENT,761,Library B doc d7c2bc99,page-761,published,427,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9512,9512,DocLib ISO B c66d83df,CLIENT,772,Library B doc c96c1efb,page-772,published,436,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9512,9512,DocLib ISO B c66d83df,CLIENT,797,Календарь,page-797,published,459,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9514,9514,DocLib ISO B 541805ae,CLIENT,755,Library B download 869da078,page-755,published,421,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9514,9514,DocLib ISO B 541805ae,CLIENT,762,Library B download 50e698b7,page-762,published,428,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9514,9514,DocLib ISO B 541805ae,CLIENT,773,Library B download dc746f79,page-773,published,437,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9514,9514,DocLib ISO B 541805ae,CLIENT,798,Календарь,page-798,published,460,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9516,9516,DocLib ISO B 6490bd6c,CLIENT,756,Library B owner 740ffca0,page-756,published,422,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9516,9516,DocLib ISO B 6490bd6c,CLIENT,763,Library B owner ab8fd320,page-763,published,429,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9516,9516,DocLib ISO B 6490bd6c,CLIENT,774,Library B owner 3b5b25c9,page-774,published,438,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9516,9516,DocLib ISO B 6490bd6c,CLIENT,799,Календарь,page-799,published,461,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9525,9525,OrphanDoc ISO A 3d3e8487,CLIENT,764,Docs dd3a3df2,page-764,published,430,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9525,9525,OrphanDoc ISO A 3d3e8487,CLIENT,766,Docs c4a07e17,page-766,published,431,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
9525,9525,OrphanDoc ISO A 3d3e8487,CLIENT,800,Календарь,page-800,published,462,page,runtime.calendar,,runtime.calendar,runtime_module_entry,runtime calendar UI,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
9529,9529,OrphanDoc ISO A b70b385d,CLIENT,765,Page cda2e6d9,page-765,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
9529,9529,OrphanDoc ISO A b70b385d,CLIENT,767,Page d64869a3,page-767,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
